公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300183,东软载波,青岛东软载波科技股份有限公司,"Qingdao Eastsoft Communication Technology Co., Ltd.",山东省青岛市市北区上清路16号甲,300183,东软载波,2011-02-22,"453,264,857","254,191,850",,,,0,0,华东,山东,青岛市,I 信息技术,www.eastsoft.com.cn
300184,力源信息,武汉力源信息技术股份有限公司,"Wuhan P&S Information Technology Co.,Ltd",湖北省武汉市东湖新技术开发区武大园三路5号,300184,力源信息,2011-02-22,"384,076,504","251,333,260",,,,0,0,华中,湖北,武汉市,F 批发零售,www.icbase.com
300185,通裕重工,通裕重工股份有限公司,"Tongyu Heavy Industry Co.,Ltd.",山东省禹城市高新技术产业开发区,300185,通裕重工,2011-03-08,"1,089,247,976","904,415,688",,,,0,0,华东,山东,德州市,C 制造业,www.tongyuheavy.com
300187,永清环保,永清环保股份有限公司,"Yonker Environmental Protection Co.,Ltd.",湖南省长沙市浏阳市国家生物医药产业基地(319国道旁),300187,永清环保,2011-03-08,"647,621,385","593,531,589",,,,0,0,华中,湖南,长沙市,N 公共环保,www.yonker.com.cn
300188,美亚柏科,厦门市美亚柏科信息股份有限公司,"Xiamen Meiya Pico Information Co.,LTD.",福建省厦门市软件园二期观日路12号102-402单元,300188,美亚柏科,2011-03-16,"487,254,406","280,951,807",,,,0,0,华东,福建,厦门市,I 信息技术,www.300188.cn
300189,神农基因,海南神农基因科技股份有限公司,"Grand Agriseeds Technology,Inc.",海南省海口市紫荆路2-1号紫荆信息公寓26A,300189,神农基因,2011-03-16,"1,024,000,000","882,219,229",,,,0,0,华南,海南,海口市,A 农林牧渔,www.sndf.com.cn
300190,维尔利,江苏维尔利环保科技股份有限公司,"Jiangsu WELLE Environmental Co.,Ltd",江苏省常州新北区汉江路156号,300190,维尔利,2011-03-16,"408,120,888","325,539,254",,,,0,0,华东,江苏,常州市,N 公共环保,www.jswelle.com.cn
300191,潜能恒信,潜能恒信能源技术股份有限公司,"SINO GEOPHYSICAL CO.,LTD",北京市海淀区紫竹院路81号院3号楼北方地产大厦618,300191,潜能恒信,2011-03-16,"320,000,000","207,020,000",,,,0,0,华北,北京,北京市,B 采矿业,www.sinogeo.com
300192,科斯伍德,苏州科斯伍德油墨股份有限公司,"Suzhou Kingswood Printing Ink Co.,Ltd.",江苏省苏州市相城区黄埭镇春申路989号,300192,科斯伍德,2011-03-22,"242,550,000","174,420,000",,,,0,0,华东,江苏,苏州市,C 制造业,www.szkinks.com
300193,佳士科技,深圳市佳士科技股份有限公司,"SHENZHEN JASIC TECHNOLOGY CO.,LTD.",广东省深圳市坪山新区青兰一路3号,300193,佳士科技,2011-03-22,"508,366,360","361,109,960",,,,0,0,华南,广东,深圳市,C 制造业,www.jasic.com.cn
300194,福安药业,福安药业（集团）股份有限公司,"Fuan Pharmaceutical （Group）co.,Ltd",重庆市长寿区化南一路1号,300194,福安药业,2011-03-22,"347,996,913","158,784,190",,,,0,0,西南,重庆,重庆市,C 制造业,www.fapharm.com
